building type,high-code,moderate-code,low-code,pre-code
W1,0.2,0.15,0.1,0.1
W2,0.2,0.1,0.05,0.05
S1L,0.133,0.067,0.033,0.033
S1M,0.1,0.05,0.025,0.025
S1H,0.067,0.033,0.017,0.017
S2L,0.2,0.1,0.05,0.05
S2M,0.2,0.1,0.05,0.05
S2H,0.15,0.075,0.038,0.038
S3,0.2,0.1,0.05,0.05
S4L,0.16,0.08,0.04,0.04
S4M,0.16,0.08,0.04,0.04
S4H,0.12,0.06,0.03,0.03
S5L,,,0.05,0.05
S5M,,,0.05,0.05
S5H,,,0.038,0.038
C1L,0.133,0.067,0.033,0.033
C1M,0.133,0.067,0.033,0.033
C1H,0.067,0.033,0.017,0.017
C2L,0.2,0.1,0.05,0.05
C2M,0.2,0.1,0.05,0.05
C2H,0.15,0.075,0.038,0.038
C3L,,,0.05,0.05
C3M,,,0.05,0.05
C3H,,,0.038,0.038
PC1,0.2,0.1,0.05,0.05
PC2L,0.2,0.1,0.05,0.05
PC2M,0.2,0.1,0.05,0.05
PC2H,0.15,0.075,0.038,0.038
RM1L,0.267,0.133,0.067,0.067
RM1M,0.267,0.133,0.067,0.067
RM2L,0.267,0.133,0.067,0.067
RM2M,0.267,0.133,0.067,0.067
RM2H,0.2,0.1,0.05,0.05
URML,,,0.067,0.067
URMM,,,0.067,0.067
MH,0.1,0.1,0.1,0.1
